title,author,file
21 Lessons for the 21st Century,Yuval Noah Harari,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/21_lessons_for_the_21st_century/21_lessons_for_the_21st_century.mp3
Leaders Eat Last,Simon Sinek,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/leaders_eat_last/leaders_eat_last.mp3
"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",Seth Stephens-Davidowitz,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/everybody_lies_big_data_new_data_and_what_the_internet_can_tell_us_about_who_we_really_are/everybody_lies_big_data_new_data_and_what_the_internet_can_tell_us_about_who_we_really_are.mp3
Treasure Islands: Uncovering the Damage of Offshore Banking and Tax Havens,Nicholas Shaxson,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/treasure_islands_uncovering_the_damage_of_offshore_banking_and_tax_havens/treasure_islands_uncovering_the_damage_of_offshore_banking_and_tax_havens.mp3
Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/happy_why_more_or_less_everything_is_absolutely_fine/happy_why_more_or_less_everything_is_absolutely_fine.mp3
Skin in the Game: The Hidden Asymmetries in Daily Life,Nassim Nicholas Taleb,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/skin_in_the_game_the_hidden_asymmetries_in_daily_life/skin_in_the_game_the_hidden_asymmetries_in_daily_life.mp3
Tribes: We Need You to Lead Us,Seth Godin,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/tribes_we_need_you_to_lead_us/tribes_we_need_you_to_lead_us.mp3
"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",Steven D. Levitt,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/freakonomics_a_rogue_economist_explores_the_hidden_side_of_everything_freakonomics_1/freakonomics_a_rogue_economist_explores_the_hidden_side_of_everything_freakonomics_1.mp3
The Hero With a Thousand Faces,Joseph Campbell,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_hero_with_a_thousand_faces/the_hero_with_a_thousand_faces.mp3
Science in the Soul: Selected Writings of a Passionate Rationalist,Richard Dawkins,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/science_in_the_soul_selected_writings_of_a_passionate_rationalist/science_in_the_soul_selected_writings_of_a_passionate_rationalist.mp3
Inside the Middle East: Making Sense of the Most Dangerous and Complicated Region on Earth,Avi Melamed,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/inside_the_middle_east_making_sense_of_the_most_dangerous_and_complicated_region_on_earth/inside_the_middle_east_making_sense_of_the_most_dangerous_and_complicated_region_on_earth.mp3
Think and Grow Rich,Napoleon Hill,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/think_and_grow_rich/think_and_grow_rich.mp3
Captivate: The Science of Succeeding with People,Vanessa Van Edwards,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/captivate_the_science_of_succeeding_with_people/captivate_the_science_of_succeeding_with_people.mp3
The Universe in a Nutshell,Stephen Hawking,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_universe_in_a_nutshell/the_universe_in_a_nutshell.mp3
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/david_and_goliath_underdogs_misfits_and_the_art_of_battling_giants/david_and_goliath_underdogs_misfits_and_the_art_of_battling_giants.mp3
Dare to Lead: Brave Work. Tough Conversations. Whole Hearts.,Brené Brown,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/DZ8EOD~6/dare_to_lead_brave_work._tough_conversations._whole_hearts..mp3
The 5 Elements of Effective Thinking,Edward B. Burger,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_5_elements_of_effective_thinking/the_5_elements_of_effective_thinking.mp3
The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_everything_store_jeff_bezos_and_the_age_of_amazon/the_everything_store_jeff_bezos_and_the_age_of_amazon.mp3
"The Chimp Paradox: The Acclaimed Mind Management Programme to Help You Achieve Success, Confidence and Happiness",Steve Peters,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_chimp_paradox_the_acclaimed_mind_management_programme_to_help_you_achieve_success_confidence_and_happiness/the_chimp_paradox_the_acclaimed_mind_management_programme_to_help_you_achieve_success_confidence_and_happiness.mp3
Unlimited Power: The New Science Of Personal Achievement,Anthony Robbins,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/unlimited_power_the_new_science_of_personal_achievement/unlimited_power_the_new_science_of_personal_achievement.mp3
,,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/unlimited_power_the_new_science_of_personal_achievement/Unlimited power a-book audio cd.mp3
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/12_rules_for_life_an_antidote_to_chaos/12_rules_for_life_an_antidote_to_chaos.mp3
Dreams from My Father: A Story of Race and Inheritance,Barack Obama,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/dreams_from_my_father_a_story_of_race_and_inheritance/dreams_from_my_father_a_story_of_race_and_inheritance.mp3
Scrum: The Art of Doing Twice the Work in Half the Time,Jeff Sutherland,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/scrum_the_art_of_doing_twice_the_work_in_half_the_time/scrum_the_art_of_doing_twice_the_work_in_half_the_time.mp3
"Games People Play: Game Theory in Life, Business, and Beyond",Scott P. Stevens,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/games_people_play_game_theory_in_life_business_and_beyond/games_people_play_game_theory_in_life_business_and_beyond.mp3
Aware: The Science and Practice of Presence--A Complete Guide to the Groundbreaking Wheel of Awareness Meditation Practice,Daniel J. Siegel,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/aware_the_science_and_practice_of_presencea_complete_guide_to_the_groundbreaking_wheel_of_awareness_meditation_practice/aware_the_science_and_practice_of_presencea_complete_guide_to_the_groundbreaking_wheel_of_awareness_meditation_practice.mp3
"A Troublesome Inheritance: Genes, Race and Human History",Nicholas J. Wade,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/a_troublesome_inheritance_genes_race_and_human_history/a_troublesome_inheritance_genes_race_and_human_history.mp3
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/bad_blood_secrets_and_lies_in_a_silicon_valley_startup/bad_blood_secrets_and_lies_in_a_silicon_valley_startup.mp3
"Crushing It!: How Great Entrepreneurs Build Their Business and Influence—and How You Can, Too",Gary Vaynerchuk,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/crushing_it_how_great_entrepreneurs_build_their_business_and_influenceand_how_you_can_too/crushing_it_how_great_entrepreneurs_build_their_business_and_influenceand_how_you_can_too.mp3
Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/radical_candor_be_a_kickass_boss_without_losing_your_humanity/radical_candor_be_a_kickass_boss_without_losing_your_humanity.mp3
The Lost City of the Monkey God,Douglas Preston,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_lost_city_of_the_monkey_god/the_lost_city_of_the_monkey_god.mp3
Measure What Matters,John Doerr,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/measure_what_matters/measure_what_matters.mp3
Leaders: Myth and Reality,Stanley McChrystal,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/leaders_myth_and_reality/leaders_myth_and_reality.mp3
What the Dog Saw and Other Adventures,Malcolm Gladwell,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/what_the_dog_saw_and_other_adventures/what_the_dog_saw_and_other_adventures.mp3
The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_hard_thing_about_hard_things_building_a_business_when_there_are_no_easy_answers/the_hard_thing_about_hard_things_building_a_business_when_there_are_no_easy_answers.mp3
Man's Search for Meaning,Viktor E. Frankl,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/mans_search_for_meaning/mans_search_for_meaning.mp3
Be Obsessed or Be Average,Grant Cardone,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/be_obsessed_or_be_average/be_obsessed_or_be_average.mp3
"The Power of Vulnerability: Teachings of Authenticity, Connections and Courage",Brené Brown,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_power_of_vulnerability_teachings_of_authenticity_connections_and_courage/the_power_of_vulnerability_teachings_of_authenticity_connections_and_courage.mp3
Emotional Intelligence,Daniel Coleman,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/emotional_intelligence/emotional_intelligence.mp3
