uuid_1,uuid_2,title,subtitle,author_1_given_name,author_1_middle_name,author_1_surname,author_2_given_name,author_2_middle_name,author_2_surname
bot:225bc9be-5581-4d00-806e-f714cb8eb87c,aud:e2b875bf-bb9a-4e3e-9d82-9fd6194d10c1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bot:2266b6a2-db2c-4f1e-a71a-cf435d763afa,aud:b3e54574-d42b-4b1d-be77-429f75c9ba6f,0.033184977913022065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:23a72261-c444-47e2-8e1d-c83c959b93ba,aud:ed479a9c-1c72-42a9-8305-cfe7b46ab3f5,0.02794948643267637,0.0,0.0,0.0,0.09961561125195695,0.0,0.0,0.0
bot:23b1b81a-b876-4a08-b9f7-1f46553b9b61,aud:7b54a2ff-3b51-4a7a-ab1c-cc6d29db1a12,0.02557010199392924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:23b1b81a-b876-4a08-b9f7-1f46553b9b61,aud:ae6b776a-58d8-4520-a3cd-40d8bb9183a4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
bot:2561d6fd-4d97-4bd3-bd50-3321129ae5f0,aud:1b2bfd87-ead1-44e2-b991-51a782e2f908,0.06037544373336301,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:257f774d-54c5-4470-bcb6-5a3325c75684,aud:64ae5943-de86-4879-a180-640c146e6a3a,0.025851954369568313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:2676ee92-80e1-47c0-9d8d-847066db04ca,aud:3b96c30b-d9b6-4330-a0e2-7e0bd5feffb1,0.036290694420449396,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:27c73faf-94c0-4510-a8ee-c6a713c4448f,aud:9d851499-866c-4371-b9ee-0d9bc8d9aba2,0.0,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,0.0,0.0
bot:27d8de5b-a728-4327-9aab-758a19b5ea1c,aud:701b7194-309f-4457-9d46-7472713672ac,0.0167222186616156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:27ee1913-c3e1-47b2-872c-caf9036b6f9e,aud:8610e97e-da47-4e95-a701-dd64d8d20d56,0.0,0.03690794189395339,0.0,0.0,0.2880603503754463,0.0,0.0,0.0
bot:2880a995-f2b6-4a38-ac10-91c78a990396,aud:4326b8df-9a0f-4e25-a183-af4102b336d8,0.0,0.0,0.0,0.0,0.5198563504706281,0.0,0.0,0.0
bot:2880a995-f2b6-4a38-ac10-91c78a990396,aud:e73ab197-73b8-4428-a416-9ade5ddd4e3e,0.0,0.0,0.0,0.0,0.3262956147610688,0.0,0.0,0.0
bot:29829915-6572-4f4d-a314-e7009fc452b6,aud:a4bbb1ed-1085-4547-aa27-73f60d56e0a4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:2a4e39b8-e095-4291-8c98-30b4a1be5efc,aud:3048a828-349f-49f6-b111-a5da007ee2ca,0.2542116375000174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:2a737b7c-245e-4751-814f-aa66df228cb3,aud:896a6acb-d722-448f-b441-7148436420dd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:2a8c0104-e3f6-4190-b2f5-d70a2ca10ab7,aud:fd1d7918-2533-4d28-a1c3-aa51f6f69a85,0.027904814763405675,0.0,0.0,0.0,0.5215554669138339,0.0,0.0,0.0
bot:2b8b3775-7bdc-4193-929c-e36a7f0049c4,aud:7a0e97ca-4b62-4d88-bf2d-4df82afd86e1,0.08431750878921336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:2bd9f471-449e-4b0a-967e-c459c9ec666d,aud:ed479a9c-1c72-42a9-8305-cfe7b46ab3f5,0.1078488062855261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:2be31030-b58b-45c6-b88f-e10c77a71d14,aud:4a657c51-2f84-4f16-a277-87b7d83735c4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:2c37db66-17c5-41a6-8a37-a488eaf8f703,aud:dc63c369-2832-4974-be89-0f6117ed014e,1.0,0.0,1.0,1.0,1.0000000000000002,0.0,0.0,0.0
bot:2d8bf74a-4321-4105-a029-5cb735cc830f,aud:158895c3-fb1b-45ee-8cac-3f60eb37c9a6,0.0,0.0,0.9999999999999994,0.0,1.0,0.0,0.0,0.0
bot:2d8bf74a-4321-4105-a029-5cb735cc830f,aud:2d3adcc9-9a65-4f98-a300-8086768f3b94,0.02014618504107917,0.0,0.9999999999999994,0.0,1.0,0.0,0.0,0.0
bot:2d8bf74a-4321-4105-a029-5cb735cc830f,aud:9612f946-f1d9-4a51-9e5a-b8a0d13ff18e,0.0,0.022297005037635504,0.9999999999999994,0.0,1.0,0.0,0.0,0.0
bot:2d8bf74a-4321-4105-a029-5cb735cc830f,aud:d8dac75f-f8f7-47f5-96c4-8513cd7ea4db,0.0,0.02009291812234989,0.9999999999999994,0.0,1.0,0.0,0.0,0.0
bot:2d8bf74a-4321-4105-a029-5cb735cc830f,aud:f75d9f59-6e35-40f8-991d-38f9e40eb987,0.6508634326765422,0.0,0.9999999999999994,0.0,1.0,0.0,0.0,0.0
bot:2d930bd2-ac29-461a-8d0d-8482d55e0c7a,aud:f9e31146-d576-49c5-b879-08a30109dc17,0.25157977325051906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:2dc959f1-97a4-4cdf-a309-7ba97a279bd5,aud:5cacb76a-a76e-407c-b3de-a6262c545dd9,0.011388843623826637,0.0,0.27761075779892735,0.0,0.0,0.0,0.0,0.0
bot:2dd02d9d-2729-4d60-9379-96c9915a0969,aud:3d3608a4-9055-4a40-b06a-23a26d641375,0.0,0.060559414101184206,0.0,0.0,0.0,0.0,0.0,0.0
bot:2e176eaf-a91a-490a-b5e9-907f2a39fc22,aud:ed479a9c-1c72-42a9-8305-cfe7b46ab3f5,0.050775803518043006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:2ea12a68-2ad9-414b-8d02-0269ba23e7ed,aud:85fd156f-866f-4b3d-b10e-9af7be531164,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
bot:2ed1e545-2e24-4175-9f18-3cc783e34be8,aud:7325dc5b-d813-4df4-832d-8c176cb2a778,1.0,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,0.0,0.0
bot:2f8963ed-be62-4f51-b01a-92434d7d6fcf,aud:4fd48839-a92c-4819-8853-f17b8e879872,0.32147833346893384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:300189ec-5d8b-4b19-b812-691da2dedc78,aud:f75d9f59-6e35-40f8-991d-38f9e40eb987,0.041076766540078316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:311321b1-7f4d-4a9f-8261-44520d18ebf2,aud:f4353d19-3617-443c-a1bc-7240981aecca,0.038288134221948274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
